"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 29 00:32:26 IST 2023","Tue Aug 29 00:32:59 IST 2023","33022","","","","","","Sign in and get an error message",""
"passed","Tue Aug 29 00:31:50 IST 2023","Tue Aug 29 00:32:26 IST 2023","35531","","","","","","Navigate to Amazon and  menu button",""
